outer_fold,feature_index,feature,document_frequency,treated_count,control_count,raw_moment,standard_error,z_score,tail_score,source_sign_agreement,subsample_sign_agreement,subsample_top_pool_frequency,tail_sign_agreement,eligible,ranking_score,rank
1,28594,underwent a left,50,23,27,-8.948059916003827e-05,2.9957025170246612e-05,-2.9869654497239804,-0.34962964,1.0,1.0,0.5666666666666667,1.0,True,2.0162016785636867,136
1,11413,enlarged hyperchromatic,98,49,49,-8.138824629006343e-05,2.828563092669014e-05,-2.8773707222937004,-0.32710278,1.0,1.0,0.6,1.0,True,2.01415950560559,137
1,17228,man who presents,100,52,48,-7.40554764747606e-05,2.482185578358404e-05,-2.983478637553654,-0.23223698,1.0,1.0,0.5666666666666667,1.0,True,2.013848080348717,138
1,1531,. --- findings,123,59,64,-8.052906485522238e-05,2.7014093042454833e-05,-2.9810019802872683,-0.26535112,1.0,1.0,0.5666666666666667,1.0,True,2.0121763366939063,139
1,8232,ck5 6 diffuse,154,78,76,8.751856453382951e-05,2.9421154302521913e-05,2.974681538117885,0.3068593,1.0,1.0,0.5666666666666667,1.0,True,2.0079100382295723,140
1,19908,node dissection performed,63,28,35,-8.505473904182026e-05,2.864519686825509e-05,-2.9692495894862856,-0.3064436,1.0,1.0,0.5666666666666667,1.0,True,2.004243472903243,141
1,7531,calcification.,330,167,163,-8.301215639040769e-05,2.904538573537852e-05,-2.8580152849991363,-0.32569295,1.0,1.0,0.6,1.0,True,2.0006106994993953,142
1,18977,neoantigen,72,37,35,7.677171352655437e-05,2.591022943512812e-05,2.9629885647585255,0.33777666,1.0,1.0,0.5666666666666667,1.0,True,2.000017281212005,143
1,11776,extra-axial,443,240,203,0.00010664716432380466,3.4706460514894376e-05,3.0728332057380707,0.22334199,1.0,1.0,0.5333333333333333,1.0,True,1.9973415837297461,144
1,9957,demonstrated activity,85,40,45,-6.755459197884203e-05,2.481604424913778e-05,-2.722214358607504,-0.20047957,1.0,1.0,0.6333333333333333,1.0,True,1.9736054099904403,145
1,13373,gy,461,237,224,0.00015637602862616056,4.9591948556427754e-05,3.1532543724961624,0.20352685,1.0,1.0,0.5,1.0,True,1.9707839828101015,146
1,27875,to brain,95,42,53,0.00014037014609920268,4.8088334406234926e-05,2.919006196251266,0.32468137,1.0,1.0,0.5666666666666667,1.0,True,1.9703291824696045,147
1,21825,pain - vitamin,79,40,39,7.26439041183105e-05,2.493812767294322e-05,2.9129654427555907,0.26248106,1.0,1.0,0.5666666666666667,1.0,True,1.9662516738600238,148
1,9919,deletion egfr,97,49,48,0.00013084810650473665,4.501224755977354e-05,2.906944522842995,0.2543896,1.0,1.0,0.5666666666666667,1.0,True,1.9621875529190216,149
1,6220,anxiety about diagnosis,70,38,32,9.526467044955033e-05,3.0562098297122506e-05,3.1170854017742533,0.32365304,1.0,1.0,0.5,1.0,True,1.9481783761089084,150
1,21702,out work activities,165,66,99,0.00013223135253404068,4.322006189365185e-05,3.0594901242717283,0.40213108,1.0,1.0,0.5,1.0,True,1.9121813276698303,151
1,3846,7.5 k,106,46,60,-0.00011251442563656292,3.844671092535276e-05,-2.9265032802160453,-0.3557591,1.0,1.0,0.5333333333333333,1.0,True,1.9022271321404296,152
1,11979,fdg uptake. -,102,49,53,-8.676258555635799e-05,3.0840147032683916e-05,-2.8132999970592985,-0.21912244,1.0,1.0,0.5666666666666667,1.0,True,1.8989774980150267,153
1,12274,flair diffusion-weighted,480,244,236,7.366851021848652e-05,2.5273306729347657e-05,2.9148742191674426,0.3136211,1.0,1.0,0.5333333333333333,1.0,True,1.8946682424588377,154
1,14153,identified right,88,51,37,-7.58653035035296e-05,2.606076824332804e-05,-2.9110923667015185,-0.1479132,1.0,1.0,0.5333333333333333,1.0,True,1.892210038355987,155
